frame,mode,readback_ms,frame_ms
8491,DB_ON,2.9968,10.2966
8492,DB_ON,3.8505,12.1781
8493,DB_ON,2.1119,9.5983
8494,DB_ON,4.115,12.4429
8495,DB_ON,2.1717,9.831
8496,DB_ON,3.4382,11.419
8497,DB_ON,2.9532,10.3474
8498,DB_ON,3.6877,12.397
8499,DB_ON,1.7786,9.3026
8500,DB_ON,3.8567,12.3322
8501,DB_ON,2.029,10.3054
8502,DB_ON,2.9599,11.6918
8503,DB_ON,1.96,9.7495
8504,DB_ON,3.2738,11.3337
8505,DB_ON,2.5373,10.1706
8506,DB_ON,3.5122,12.0134
8507,DB_ON,2.3359,10.0883
8508,DB_ON,3.7471,11.6851
8509,DB_ON,3.1332,10.504
8510,DB_ON,3.5684,12.0493
8511,DB_ON,2.097,9.6709
8512,DB_ON,4.0215,11.9724
8513,DB_ON,2.5071,10.1967
8514,DB_ON,3.4365,11.7535
8515,DB_ON,2.7105,10.4017
8516,DB_ON,3.1214,11.3298
8517,DB_ON,2.7459,10.1457
8518,DB_ON,3.4482,12.1447
8519,DB_ON,1.8533,9.5688
8520,DB_ON,3.807,11.921
8521,DB_ON,2.7449,10.2329
8522,DB_ON,2.8709,12.1749
8523,DB_ON,1.7285,10.0326
8524,DB_ON,3.2146,11.6505
8525,DB_ON,2.1104,9.7337
8526,DB_ON,3.832,12.0201
8527,DB_ON,2.8124,10.0115
8528,DB_ON,3.9379,12.1091
8529,DB_ON,2.1899,9.6513
8530,DB_ON,4.107,12.333
8531,DB_ON,2.412,9.8128
8532,DB_ON,3.7879,11.758
8533,DB_ON,2.9634,10.1617
8534,DB_ON,3.8814,12.023
8535,DB_ON,2.3454,9.7347
8536,DB_ON,3.7669,12.4256
8537,DB_ON,2.1794,9.4848
8538,DB_ON,3.6374,11.5793
8539,DB_ON,2.2634,8.9805
8540,DB_ON,4.6407,11.5949
8541,DB_ON,3.8827,10.0672
8542,DB_ON,4.6297,11.7709
8543,DB_ON,3.5891,9.2194
8544,DB_ON,5.3136,11.8301
8545,DB_ON,4.4053,10.052
8546,DB_ON,5.2496,11.5037
8547,DB_ON,4.2989,9.6189
8548,DB_ON,5.9315,11.817
8549,DB_ON,5.0694,10.058
8550,DB_ON,6.0483,11.8156
8551,DB_ON,5.0591,9.7205
8552,DB_ON,6.424,11.8153
8553,DB_ON,4.6614,9.5691
8554,DB_ON,6.0945,11.7057
8555,DB_ON,5.6146,10.3837
8556,DB_ON,6.3212,11.577
8557,DB_ON,5.784,10.2012
8558,DB_ON,6.6183,11.9538
8559,DB_ON,5.5508,10.1237
8560,DB_ON,6.7599,11.9129
8561,DB_ON,5.5162,10.6473
8562,DB_ON,6.3149,11.5339
8563,DB_ON,5.8105,10.2194
8564,DB_ON,6.6689,11.9476
8565,DB_ON,5.4197,10.3211
8566,DB_ON,6.3626,12.1128
8567,DB_ON,4.9467,10.1614
8568,DB_ON,6.0263,11.4378
8569,DB_ON,5.5894,10.0515
8570,DB_ON,6.4007,11.6167
8571,DB_ON,5.0605,9.9721
8572,DB_ON,5.9203,11.1965
8573,DB_ON,5.7903,10.6394
8574,DB_ON,6.0646,11.3727
8575,DB_ON,5.6972,10.1077
8576,DB_ON,6.6157,11.9851
8577,DB_ON,5.1877,9.6384
8578,DB_ON,6.6557,12.4331
8579,DB_ON,5.242,10.1924
8580,DB_ON,5.6794,11.1103
8581,DB_ON,5.1749,10.2503
8582,DB_ON,6.3741,11.7831
8583,DB_ON,5.1734,10.0876
8584,DB_ON,6.2298,11.5043
8585,DB_ON,5.7764,10.6132
8586,DB_ON,5.8571,11.1352
8587,DB_ON,5.6272,9.98
8588,DB_ON,6.7121,11.871
8589,DB_ON,5.3716,10.1804
8590,DB_ON,6.494,11.7018
8591,DB_ON,5.8001,10.6261
8592,DB_ON,5.7956,10.9839
8593,DB_ON,5.7828,10.3268
8594,DB_ON,6.1251,11.6426
8595,DB_ON,5.5547,9.9186
8596,DB_ON,6.5319,11.8003
8597,DB_ON,5.542,10.1507
8598,DB_ON,6.2667,11.7189
8599,DB_ON,5.4919,10.1019
8600,DB_ON,6.4393,11.6505
8601,DB_ON,4.5174,9.2492
8602,DB_ON,6.4274,11.7573
8603,DB_ON,5.4927,10.4633
8604,DB_ON,5.8508,11.3055
8605,DB_ON,5.6385,10.4083
8606,DB_ON,6.0875,11.1302
8607,DB_ON,5.7167,10.617
8608,DB_ON,6.4285,11.6922
8609,DB_ON,5.3499,10.3722
8610,DB_ON,6.3848,11.666
8611,DB_ON,5.3359,9.9289
8612,DB_ON,6.3157,11.5796
8613,DB_ON,5.4901,10.137
8614,DB_ON,6.5939,12.3151
8615,DB_ON,4.6272,9.7966
8616,DB_ON,5.7531,11.2359
8617,DB_ON,5.7378,10.5444
8618,DB_ON,5.487,10.6096
8619,DB_ON,6.1566,10.7303
8620,DB_ON,6.4163,11.7114
8621,DB_ON,5.3198,10.5305
8622,DB_ON,5.9293,11.3191
8623,DB_ON,5.6935,10.4001
8624,DB_ON,5.8648,11.033
8625,DB_ON,5.8118,10.3173
8626,DB_ON,6.5166,12.3348
8627,DB_ON,5.0341,9.7073
8628,DB_ON,6.2311,11.597
8629,DB_ON,5.4161,10.0015
8630,DB_ON,6.3998,11.7478
8631,DB_ON,5.318,10.3958
8632,DB_ON,5.7877,11.1504
8633,DB_ON,5.5422,10.2165
8634,DB_ON,6.3606,11.7206
8635,DB_ON,5.5488,10.041
8636,DB_ON,6.2408,11.6553
8637,DB_ON,4.9348,9.7189
8638,DB_ON,6.4974,11.6736
8639,DB_ON,5.3897,10.3964
8640,DB_ON,6.1789,11.5588
8641,DB_ON,5.5453,10.4198
8642,DB_ON,5.8246,11.1037
8643,DB_ON,5.7008,10.1623
8644,DB_ON,6.6311,12.4212
8645,DB_ON,4.9418,9.7605
8646,DB_ON,6.4246,12.0066
8647,DB_ON,5.4551,10.138
8648,DB_ON,6.3356,11.844
8649,DB_ON,5.1588,9.8024
8650,DB_ON,6.5184,12.701
8651,DB_ON,4.5064,9.3773
8652,DB_ON,6.6442,12.1312
8653,DB_ON,5.5542,10.1599
8654,DB_ON,6.1616,11.8287
8655,DB_ON,4.9991,9.8954
8656,DB_ON,6.3681,11.7372
8657,DB_ON,5.488,10.1529
8658,DB_ON,6.3575,12.0411
8659,DB_ON,4.9271,9.579
8660,DB_ON,6.4583,11.8892
8661,DB_ON,5.3743,10.1873
8662,DB_ON,6.2799,11.8682
8663,DB_ON,5.4954,10.1014
8664,DB_ON,6.2049,11.7246
8665,DB_ON,5.5599,10.4679
8666,DB_ON,6.2458,12.0027
8667,DB_ON,5.0135,10.6979
8668,DB_ON,5.7014,11.7668
8669,DB_ON,4.5729,9.5666
8670,DB_ON,6.311,13.3825
8671,DB_ON,4.1634,8.5972
8672,DB_ON,6.6666,12.3196
8673,DB_ON,4.881,9.9583
8674,DB_ON,6.2707,12.1998
8675,DB_ON,5.1668,10.0361
8676,DB_ON,5.9873,11.2332
8677,DB_ON,5.9448,10.3673
8678,DB_ON,6.3227,11.8796
8679,DB_ON,4.9999,10.0829
8680,DB_ON,6.1981,11.7599
8681,DB_ON,5.1854,10.0556
8682,DB_ON,6.082,11.8746
8683,DB_ON,5.0769,9.9041
